Marca temporal,¿Quién sos? Tu nombre o @ de Telegram.,"MEJORES 2024   *nombre de la peli y link IMDB
#10","MEJORES 2024   *nombre de la peli y link IMDB
#9","MEJORES 2024   *nombre de la peli y link IMDB
#8","MEJORES 2024   *nombre de la peli y link IMDB
#7","MEJORES 2024   *nombre de la peli y link IMDB
#6","MEJORES 2024   *nombre de la peli y link IMDB
#5","MEJORES 2024   *nombre de la peli y link IMDB
#4","MEJORES 2024  *nombre de la peli y link IMDB
#3","MEJORES 2024   *nombre de la peli y link IMDB
#2","MEJORES 2024 *nombre de la peli y link IMDB   
#1",PORONGA #3 2024  que consideres que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #2 2024  que consideres que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #1 2024  que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB
17/01/2025 11:55:23,FedeC,Strange Darling	https://www.imdb.com/es/title/tt22375054/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_strange%2520darlin,Alien: Romulus	https://www.imdb.com/es/title/tt18412256/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt18412256,Rebel Ridge	https://www.imdb.com/es/title/tt11301886/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt11301886,Red Rooms	https://www.imdb.com/es/title/tt22207786/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt22207786,Perfect Days	 https://www.imdb.com/es/title/tt27503384/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt27503384,The Substance	https://www.imdb.com/es/title/tt17526714/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt17526714,The zone of interest	https://www.imdb.com/es/title/tt7160372/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_zone%2520of%2520interest,Anora	https://www.imdb.com/es/title/tt28607951/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_anora,Nosferatu	https://www.imdb.com/es/title/tt5040012/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt5040012,The Devil's Bath	https://www.imdb.com/es/title/tt29141112/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt29141112,Joker 2	https://www.imdb.com/es/title/tt11315808/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt11315808,Megalopolis	https://www.imdb.com/es/title/tt10128846/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tt10128846,Emilia Pérez	https://www.imdb.com/es/title/tt20221436/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_tt20221436
18/01/2025 10:22:58,Alan,Juror #2 https://www.imdb.com/title/tt27403986/,River https://www.imdb.com/title/tt27695005,Civil War https://www.imdb.com/title/tt17279496,Después de un buen día https://www.imdb.com/title/tt32901835,American Fiction https://www.imdb.com/title/tt23561236,Anora https://www.imdb.com/title/tt28607951,Godzilla Minus One https://www.imdb.com/title/tt23289160,Dune: Part Two https://www.imdb.com/title/tt15239678/,Perfect Days https://www.imdb.com/title/tt27503384/,Kinds of Kindness https://www.imdb.com/title/tt22408160/,Emilia Pérez https://www.imdb.com/title/tt20221436,Madame Web https://www.imdb.com/title/tt11057302,Megalopolis https://www.imdb.com/title/tt10128846
18/01/2025 13:21:53,Anton,Carry on	http://www.imdb.com/title/tt21382296,The Order        http://www.imdb.com/title/tt26625693,Alien: Romulus	http://www.imdb.com/title/tt18412256,Strange Darling	http://www.imdb.com/title/tt22375054,Godzilla Minus One	http://www.imdb.com/title/tt23289160,Red Rooms	http://www.imdb.com/title/tt22207786,Furiosa	http://www.imdb.com/title/tt12037194,Dune: Part two	http://www.imdb.com/title/tt15239678,Anora 	http://www.imdb.com/title/tt28607951,Rebel Ridge	http://www.imdb.com/title/tt11301886,Bad Boys Ride or Die	http://www.imdb.com/title/tt4919268,Venom	http://www.imdb.com/title/tt16366836,It Ends with Us	http://www.imdb.com/title/tt10655524
18/01/2025 13:49:30,Lavtaro,Oddity - https://www.imdb.com/es-es/title/tt26470109/,Longlegs https://www.imdb.com/es/title/tt23468450/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_longlegs,El Jockey - https://www.imdb.com/es-es/title/tt28231777/,Alemania (2023) https://www.imdb.com/es-es/title/tt15475516/,Anora - tt28607951,Spermworld - https://www.imdb.com/es-es/title/tt30835128/,Popular tradicion de esta tierra - https://www.filmaffinity.com/es/film916323.html,The Zone of Interest - tt7160372,All of us strangers - https://www.imdb.com/es-es/title/tt21192142/,A different man - https://www.imdb.com/es-es/title/tt21097228/,,,Emilia Perez - /tt20221436/
18/01/2025 14:05:55,Esteban,Alien: Romulus https://www.imdb.com/title/tt18412256/,EL conde de montecristo https://www.imdb.com/title/tt26446278/,Civil war https://www.imdb.com/title/tt17279496/,The wild robot https://www.imdb.com/title/tt29623480/,all of us strangers https://www.imdb.com/title/tt21192142/,A different man https://www.imdb.com/title/tt21097228/,Anora https://www.imdb.com/title/tt28607951/,Kind of kindness https://www.imdb.com/title/tt22408160/,red rooms https://www.imdb.com/title/tt22207786/,Poor things https://www.imdb.com/title/tt14230458/,,,
18/01/2025 14:07:30,@IaiIu,All of Us Strangers - tt21192142,El escuerzo - tt13658886,Flow - tt4772188,Anora - tt28607951,Les Chambres Rouges - tt22207786,The Substance - tt17526714,The Zone of Interest - tt7160372,Popular tradición de esta tierra - https://www.filmaffinity.com/es/film916323.html,El Jockey - tt28231777,Alemania  - tt15475516,,Emilia Perez - tt20221436,The Crow - tt1340094
18/01/2025 14:47:06,Natalia,Poor Things - https://m.imdb.com/es/title/tt14230458/?ref_=ext_shr_lnk,The Zone of Interest - https://m.imdb.com/es/title/tt7160372/?ref_=ext_shr_lnk,Alien: Romulus https://m.imdb.com/es/title/tt18412256/?ref_=ext_shr_lnk,Witches - https://m.imdb.com/es/title/tt32141590/?ref_=ext_shr_lnk,The Devil's Bath - https://m.imdb.com/es/title/tt29141112/?ref_=ext_shr_lnk,Kinds of Kindness https://m.imdb.com/es/title/tt22408160/?ref_=ext_shr_lnk,A Different Man https://m.imdb.com/es/title/tt21097228/?ref_=ext_shr_lnk,Anora https://m.imdb.com/es/title/tt28607951/?ref_=ext_shr_lnk,The Substance https://m.imdb.com/es/title/tt17526714/?ref_=ext_shr_lnk,Red Rooms https://m.imdb.com/es/title/tt22207786/?ref_=ext_shr_lnk,Gladiator II https://m.imdb.com/es/title/tt9218128/?ref_=ext_shr_lnk,La mesita del comedor https://m.imdb.com/es/title/tt21874760/?ref_=ext_shr_lnk,1978 https://m.imdb.com/es/title/tt33304396/?ref_=ext_shr_lnk
19/01/2025 14:02:18,@El_Diegot3,Challengers	https://www.imdb.com/es/title/tt16426418,The Substance	https://www.imdb.com/es/title/tt17526714/,Beetlejuice Beetlejuice	https://www.imdb.com/es/title/tt2049403/,Furiosa: A Mad Max Saga	https://www.imdb.com/es/title/tt12037194,Alien Romulus	https://www.imdb.com/es/title/tt18412256,Red Rooms	https://www.imdb.com/es/title/tt22207786,Anora	https://www.imdb.com/es/title/tt28607951,Snack Shack	https://www.imdb.com/es/title/tt22004344,Kneecap	https://www.imdb.com/es/title/tt27367464/,Dune: Part Two	https://www.imdb.com/es/title/tt15239678/,,Kraven	https://www.imdb.com/es/title/tt8790086/,Trap	https://www.imdb.com/es/title/tt26753003/
19/01/2025 14:43:15,@ferheinz,Alien romulus https://www.imdb.com/title/tt18412256/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_alien,A real pain https://www.imdb.com/title/tt21823606/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520real%2520pain,Challengers https://www.imdb.com/title/tt16426418/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_challen,Longlegs https://www.imdb.com/title/tt23468450/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_longl,Rebel Ridge https://www.imdb.com/title/tt11301886/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_rebel,El Jockey https://www.imdb.com/title/tt28231777/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_el%2520jockey,The substance https://www.imdb.com/title/tt17526714/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520sub,Dune 2 https://www.imdb.com/title/tt15239678/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_dune%25202,Anora https://www.imdb.com/title/tt28607951/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_anora,Furiosa https://www.imdb.com/title/tt12037194/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_furiosa,,,
19/01/2025 16:02:50,Ale,Here - /tt18272208/,You'll Never Find Me - /tt22023218/,The Substance - /tt17526714/,Strange Darling - /tt22375054/,The Seed of the Sacred Fig - /tt32178949/,The Devil's Bath - /tt29141112/,Rebel Ridge - /tt11301886/,A DIfferent Man - /tt21097228/,Anora - /tt28607951/,Red Rooms - /tt22207786/,1978 - /tt33304396/,The Wages of Fear - /tt27487473/,Emilia Perez - /tt20221436/
19/01/2025 17:45:51,Marce,algo nuevo algo viejo algo prestado  https://www.imdb.com/es-es/title/tt32128950/,rebel ridge  https://www.imdb.com/es-es/title/tt11301886/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_rebel%2520ridge,soundtrack for a coup d'etat   https://www.imdb.com/es-es/title/tt14452174/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_soundtrack%2520for%2520a%2520coup,zona de interés    https://www.imdb.com/es-es/title/tt7160372/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_the%2520zone%2520of%2520in,longlegs   https://www.imdb.com/es-es/title/tt23468450/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_longlegs,riverboom   https://www.imdb.com/es-es/title/tt28815636/?ref_=fn_all_ttl_1,Will y Harper https://www.imdb.com/es-es/title/tt30321133/?ref_=fn_all_ttl_1,nosferatu   https://www.imdb.com/es-es/title/tt5040012/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Nosferatu,anora  https://www.imdb.com/es-es/title/tt28607951/?ref_=fn_all_ttl_1,the seed of the sacred fig  https://www.imdb.com/es-es/title/tt32178949/,Saltburn https://www.imdb.com/es-es/title/tt17351924/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_saltbu,Descansar en paz https://www.imdb.com/es-es/title/tt28769440/?ref_=fn_all_ttl_1,Megalópolis https://www.imdb.com/es-es/title/tt10128846/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_megalopil
19/01/2025 17:48:32,Hernán Rodriguez,Zone of interest (https://www.imdb.com/es-es/title/tt7160372/),Godzilla minus one (https://www.imdb.com/es-es/title/tt23289160/),El Jockey (https://www.imdb.com/es-es/title/tt28231777/),Les chambres rouges (https://www.imdb.com/es-es/title/tt22207786/),Kind of kindness (https://www.imdb.com/es-es/title/tt22408160/),The holdlovers (https://www.imdb.com/es-es/title/tt14849194/),The substance (https://www.imdb.com/es-es/title/tt17526714/),Rebel Ridge (https://www.imdb.com/es-es/title/tt11301886/),Juror #2 (https://www.imdb.com/es-es/title/tt27403986/),Nosferatu (https://www.imdb.com/es-es/title/tt5040012/),Horizon (https://www.imdb.com/es-es/title/tt17505010/),Emilia Perez (https://www.imdb.com/es-es/title/tt20221436/),Megalopolis (https://www.imdb.com/es-es/title/tt10128846/)
19/01/2025 19:20:18,Mauricio P,Robot Dreams - https://www.imdb.com/es-es/title/tt13429870/,The Settlers - https://www.imdb.com/es-es/title/tt10370812,Furiosa - https://www.imdb.com/es-es/title/tt12037194,La Primera Profecía - https://www.imdb.com/es-es/title/tt5672290/,The Substance - https://www.imdb.com/es-es/title/tt17526714/,Strange Darling - https://www.imdb.com/es-es/title/tt22375054/,Anora - https://www.imdb.com/es-es/title/tt28607951/,Rebel Ridge - https://www.imdb.com/es-es/title/tt11301886/,Nosferatu - https://www.imdb.com/es-es/title/tt5040012/,Longlegs - https://www.imdb.com/es-es/title/tt23468450/,Emilia Perez - https://www.imdb.com/es-es/title/tt20221436/,Road House - https://www.imdb.com/es-es/title/tt3359350/,Trap - https://www.imdb.com/es-es/title/tt26753003/
19/01/2025 20:44:38,Albano! @albaletti,Furiosa - https://www.imdb.com/es-es/title/tt12037194/,Sonic the Hedgehog 3 - https://www.imdb.com/es-es/title/tt18259086/,Gladiator II - https://www.imdb.com/es-es/title/tt9218128/,Longlegs - https://www.imdb.com/es-es/title/tt23468450/,Alemania - https://www.imdb.com/es-es/title/tt15475516/,Dune: Part Two - https://www.imdb.com/es-es/title/tt15239678/,Rebel Ridge - https://www.imdb.com/es-es/title/tt11301886/,Anora - https://www.imdb.com/es-es/title/tt28607951/,Challengers - https://www.imdb.com/es-es/title/tt16426418/,The Substance - https://www.imdb.com/es-es/title/tt17526714/,Civil War - https://www.imdb.com/es-es/title/tt17279496/,The Crow - https://www.imdb.com/es-es/title/tt1340094/,Emilia Perez - https://www.imdb.com/es-es/title/tt20221436/
