Marca temporal,¿Quién sos? Tu nombre o @ de Telegram.,"MEJORES 2025   *nombre de la peli y link IMDB
#10","MEJORES 2025   *nombre de la peli y link IMDB
#9","MEJORES 2025   *nombre de la peli y link IMDB
#8","MEJORES 2025   *nombre de la peli y link IMDB
#7","MEJORES 2025   *nombre de la peli y link IMDB
#6","MEJORES 2025   *nombre de la peli y link IMDB
#5","MEJORES 2025   *nombre de la peli y link IMDB
#4","MEJORES 2025  *nombre de la peli y link IMDB
#3","MEJORES 2025   *nombre de la peli y link IMDB
#2","MEJORES 2025 *nombre de la peli y link IMDB   
#1",LA MÁS MEJOR QUE VÍ ESTE AÑO ES  *nombre de la peli y link IMDB,PORONGA #3 2025 que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #2 2025 que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #1 2025 que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB
5/01/2026 14:59:01,clauhernan73,Gatillero	https://www.imdb.com/es/title/tt35974872/?ref_=ext_shr_lnk,Sinners	https://www.imdb.com/es/title/tt31193180/?ref_=ext_shr_lnk,Weapons	https://www.imdb.com/es/title/tt26581740/?ref_=ext_shr_lnk,The Monkey	https://www.imdb.com/es/title/tt27714946/?ref_=ext_shr_lnk,Frankenstein	https://www.imdb.com/es/title/tt1312221/?ref_=ext_shr_lnk,Better man	https://www.imdb.com/es/title/tt14260836/?ref_=ext_shr_lnk,Bugonia	https://www.imdb.com/es/title/tt12300742/?ref_=ext_shr_lnk,sentimental value	https://www.imdb.com/es/title/tt27714581/?ref_=ext_shr_lnk,Bring her back	https://www.imdb.com/es/title/tt32246771/?ref_=ext_shr_lnk,One Battle After Another	https://www.imdb.com/es/title/tt30144839/?ref_=ext_shr_lnk,One Battle After Another	https://www.imdb.com/es/title/tt30144839/?ref_=ext_shr_lnk,Caught Stealing	https://www.imdb.com/es/title/tt1493274/?ref_=ext_shr_lnk,Materialists	https://www.imdb.com/es/title/tt30253473/?ref_=ext_shr_lnk,War of the Worlds	https://www.imdb.com/es/title/tt13186306/?ref_=ext_shr_lnk
6/01/2026 12:39:09,@martog23 ,Sentimental value https://www.imdb.com/es/title/tt27714581 ,No other choice https://www.imdb.com/es/title/tt1527793,If I had legs I will kick you https://www.imdb.com/es/title/tt18382850,Bring her back https://www.imdb.com/es/title/tt32246771,Sinners https://www.imdb.com/es/title/tt31193180,Weapons https://www.imdb.com/es/title/tt26581740,It was just an accident https://www.imdb.com/es/title/tt36491653,Gatillero https://www.imdb.com/es/title/tt35974872,The president's cake https://www.imdb.com/es/title/tt36580119,One battle after another https://www.imdb.com/es/title/tt30144839,M https://www.imdb.com/es/title/tt0022100,The voice of Hind Rajab https://www.imdb.com/es/title/tt36943034,I know what you did last summer https://www.imdb.com/es/title/tt4045450,A minecraft movie https://www.imdb.com/es/title/tt3566834
14/01/2026 12:33:04,Fede C,better man |	tt14260836,night call |	tt16826430,nouvelle vague |	tt31688586,sovereign |	tt26843513,Cloud |	tt32828123,no other choice |	tt1527793,bring her back |	tt32246771,sentimental value |	tt27714581,it was just an accident |	tt36491653,one battle after another |	tt30144839,to be or not to be |	tt0035446,influencers |	tt36833584,Alma and the Wolf |	tt31849867,Ebony and Ivory |	tt33131034
14/01/2026 22:13:32,Facundo Valiente ,The Monkey https://m.imdb.com/es-es/title/tt27714946/?ref_=nv_sr_srsg_3_tt_5_nm_3_in_0_q_the%2520monkey%2520,Companion https://m.imdb.com/es-es/title/tt26584495/?ref_=nv_sr_srsg_1_tt_4_nm_3_in_0_q_com,Weapons https://m.imdb.com/es-es/title/tt26581740/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_weapo,Final Destination Bloodlines https://m.imdb.com/es-es/title/tt9619824/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_final,28 Years Later https://m.imdb.com/es-es/title/tt10548174/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_28,Wake up Dead Man https://m.imdb.com/es-es/title/tt14364480/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_wake%2520up%2520,"Nosferatu (no estoy seguro si entra en este año, pero bueno) https://m.imdb.com/es-es/title/tt5040012/?ref_=nv_sr_srsg_1_tt_5_nm_2_in_0_q_nosfe",Bring Her Back https://m.imdb.com/es-es/title/tt32246771/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_brin,Sinners https://m.imdb.com/es-es/title/tt31193180/?ref_=nv_sr_srsg_1_tt_1_nm_6_in_0_q_si,One Battle After Another https://m.imdb.com/es-es/title/tt30144839/?ref_=nv_sr_srsg_1_tt_6_nm_1_in_0_q_one,Something Wild https://m.imdb.com/es-es/title/tt0091983/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_something,Jurassic World: Rebirth https://m.imdb.com/es-es/title/tt31036941/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Jurassic,Captain America: Brave New World https://m.imdb.com/es-es/title/tt14513804/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_captain%2520America,I Know What You Did Last Summer https://m.imdb.com/es-es/title/tt4045450/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_i%2520know
16/01/2026 12:01:00,Silvina,Weapons https://www.imdb.com/es/title/tt26581740/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_weapon,Sisu 2 https://www.imdb.com/es/title/tt31844586/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_sisu%25202,The Ugly Stepsister https://www.imdb.com/es/title/tt29344903/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520ugly,Eternity https://www.imdb.com/es/title/tt24950660/,Sentimental Value https://www.imdb.com/es/title/tt27714581/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_sentimental%2520valu,Companion https://www.imdb.com/es/title/tt26584495/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_companio,Bring Her Back https://www.imdb.com/es/title/tt32246771/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_bring%2520her%2520b,One Battle After Another https://www.imdb.com/es/title/tt30144839/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_One%2520Battle%2520After%2520Another,If I Had Legs I’d Kick You https://www.imdb.com/es/title/tt18382850/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_-If%2520I%2520Had%2520Legs%2520I%25E2%2580%2599d%2520Kick%2520Yo,Better Man https://www.imdb.com/es/title/tt14260836/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_better%2520man,Save the green planet! https://www.imdb.com/es/title/tt0354668/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_save%2520the%2520gre,Caught Stealing https://www.imdb.com/es/title/tt1493274/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_caugh,Materialists https://www.imdb.com/es/title/tt30253473/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_material,Ballerina https://www.imdb.com/es/title/tt7181546/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_ballerina
17/01/2026 17:49:58,@noelyas,Bugonia - tt12300742,"Sorry, baby - tt32843349",Sinners - tt31193180,Frankenstein - tt1312221,It was just an accident - tt36491653,The Ugly Stepsister - tt29344903,One Battle After Another - tt30144839,No Other Choice - tt1527793,Bring Her Back - tt32246771,La Virgen de la Tosquera - tt15460036,Grand Prix - tt0060472,,,F1: The Movie - tt16311594
17/01/2026 23:18:29,Hernan Rodríguez ,Perros https://m.imdb.com/es-es/title/tt33347851,Omaha https://m.imdb.com/es-es/title/tt29253299/,Dossier 137 https://m.imdb.com/es-es/title/tt34794183,Nouvelle vague https://m.imdb.com/es-es/title/tt31688586,Bugonia https://m.imdb.com/es-es/title/tt12300742,A complete unknown https://m.imdb.com/es-es/title/tt11563598,Sentimental value https://m.imdb.com/es-es/title/tt27714581,Agente secreto https://m.imdb.com/es-es/title/tt27847051,If I had legs I'll kick you https://m.imdb.com/es-es/title/tt18382850,One battle after another https://m.imdb.com/es-es/title/tt30144839,Birdman of alcatraz https://m.imdb.com/es-es/title/tt0055798,,,The Mastermind https://m.imdb.com/es-es/title/tt33455099
17/01/2026 23:48:48,Santi García,F1 https://m.imdb.com/title/tt16311594/,Gatillero https://m.imdb.com/title/tt35974872/,Weapons https://m.imdb.com/title/tt26581740/,Bugonia https://m.imdb.com/title/tt12300742/,If I Had Legs I’d Kick You https://m.imdb.com/title/tt18382850/,The Ugly Stepsister https://m.imdb.com/title/tt29344903/,Sinners https://m.imdb.com/title/tt31193180/,Bring Her Back https://m.imdb.com/title/tt32246771/,El agente secreto https://m.imdb.com/title/tt27847051/,One Battle After Another https://m.imdb.com/title/tt30144839/,The Conversation https://m.imdb.com/title/tt0071360/,,,Wicked For Good https://m.imdb.com/title/tt19847976/
18/01/2026 12:34:18,Esteban,hallow road https://www.imdb.com/es-es/title/tt19403516/,the running man https://www.imdb.com/es-es/title/tt14107334/,bugonia https://www.imdb.com/es-es/title/tt12300742/,sovereign https://www.imdb.com/es-es/title/tt26843513/,bring her back https://www.imdb.com/es-es/title/tt32246771/,sentimental value https://www.imdb.com/es-es/title/tt27714581/,la cocina https://www.imdb.com/es-es/title/tt19864832/, nouvelle vague https://www.imdb.com/es-es/title/tt31688586/,the ugly stepsister https://www.imdb.com/es-es/title/tt29344903/,una batalla tras otra https://www.imdb.com/es-es/title/tt30144839/,the shop around the corner https://www.imdb.com/es-es/title/tt0033045/,Superman https://www.imdb.com/es-es/title/tt5950044/,fantastic four first steps https://www.imdb.com/es-es/title/tt10676052/,sirat https://www.imdb.com/es-es/title/tt32298285/
18/01/2026 15:29:27,Anton,The Running Man	- tt14107334,Deep cover - tt31121295,Weapons - tt26581740,Gatillero - tt35974872,If I had legs I'd Kick you - tt18382850,Bring her back - tt32246771,Sinners - tt31193180,Frankenstein	- tt1312221,No Other Choice - tt1527793,Una batalla tras otra - tt30144839,Una batalla tras otra - tt30144839,Materialistas	- tt30253473,Electric State - tt7766378,The amateur	- tt0899043
18/01/2026 18:55:12,Mar,Gatillero https://m.imdb.com/es/title/tt35974872,Nosferatu https://m.imdb.com/es/title/tt5040012,The Ugly Stepsister https://m.imdb.com/es/title/tt29344903,Frankenstein https://m.imdb.com/es/title/tt1312221,Better Man https://m.imdb.com/es/title/tt14260836,Ainda Estou Aquí https://m.imdb.com/es/title/tt14961016,Sentimental Value https://m.imdb.com/es/title/tt27714581,One Battle After Another https://m.imdb.com/es/title/tt30144839,It Was Just An Accident https://m.imdb.com/es/title/tt36491653,Sinners https://m.imdb.com/es/title/tt31193180,All The President's Men https://m.imdb.com/es/title/tt0074119,Materialists https://m.imdb.com/es/title/tt30253473,Babygirl https://m.imdb.com/es/title/tt30057084,Homo Argentum https://m.imdb.com/es/title/tt34996428
18/01/2026 19:41:04,/albaletti,Bring Her Back (2025) - http://www.imdb.com/title/tt32246771/,Una Quinta Portuguesa (2025) - https://www.imdb.com/es/title/tt28090350/,The Phoenician Scheme (2025) - http://www.imdb.com/title/tt30840798/,Demon Slayer: Kimetsu no Yaiba - Infinity Castle (2025) - http://www.imdb.com/title/tt32820897/,Rental Family (2025) - https://www.imdb.com/es/title/tt14142060/,F1 (2025) - http://www.imdb.com/title/tt16311594/,Chainsaw Man – The Movie: Reze Arc (2025) - http://www.imdb.com/title/tt30472557/,Bugonia (2025) - https://www.imdb.com/es/title/tt12300742,Sinners (2025) - http://www.imdb.com/title/tt31193180/,One Battle After Another (2025) - https://www.imdb.com/es/title/tt30144839/,Federer: Twelve Final Days (2024) - https://www.imdb.com/es/title/tt31392065/,Captain America: Brave New World (2025) - https://www.imdb.com/es/title/tt14513804/,Materialists (2025) - https://www.imdb.com/es/title/tt30253473/,Homo Argentum (2025) - https://www.imdb.com/es/title/tt34996428/
18/01/2026 19:45:41,Javier Covian,Bizarrofilia https://www.imdb.com/title/tt34825418/,Bring her back  https://www.imdb.com/title/tt32246771/,Final destination bloodlines https://www.imdb.com/title/tt9619824/,Reflection in a dead diamond https://www.imdb.com/title/tt32263401/,Sinners https://www.imdb.com/title/tt31193180/,Weapons https://www.imdb.com/title/tt26581740/,The ugly stepsister https://www.imdb.com/title/tt29344903/,227 lunas https://www.imdb.com/title/tt36997568/,The piano accident https://www.imdb.com/title/tt35431236/,One battle after another https://www.imdb.com/title/tt30144839/,Posession https://www.imdb.com/title/tt0082933/,Alpha https://www.imdb.com/title/tt32275943/,Blancanieves https://www.imdb.com/title/tt6208148/,Materialists https://www.imdb.com/title/tt30253473/
18/01/2026 20:24:57,basophium ,Hallow Road https://m.imdb.com/es/title/tt19403516/,Gatillero https://m.imdb.com/es/title/tt35974872/?ref_=nv_sr_srsg_3_tt_7_nm_1_in_0_q_gatillero%2520,Sovereign https://m.imdb.com/es/title/tt26843513/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_Sovereign,No Other Choice https://m.imdb.com/es/title/tt1527793/?ref_=,Sentimental Value https://m.imdb.com/es/title/tt27714581/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_Sentimental%2520Value,Sisu: Road to Revenge https://m.imdb.com/es/title/tt31844586/?ref_=nv_sr_srsg_0_tt_6_nm_0_in_0_q_Sisu%253A%2520Road%2520to%2520Revenge%2520,It Was Just an Accident https://m.imdb.com/es/title/tt36491653/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_It%2520Was%2520Just%2520an%2520Accident,Bring Her Back https://m.imdb.com/es/title/tt32246771/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_Bring%2520Her%2520Back,One Battle After Another https://m.imdb.com/es/title/tt30144839/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_One%2520battle%2520after%2520another,The Ugly Stepsister https://m.imdb.com/es/title/tt29344903/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_The%2520Ugly%2520Stepsister%2520,Save the Green Planet! https://m.imdb.com/es/title/tt0354668/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_Save%2520the%2520Green%2520Planet!,,Merv https://m.imdb.com/es/title/tt31281659/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_merv,Materialists https://m.imdb.com/es/title/tt30253473/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_Materialists
18/01/2026 20:44:05,Matías Mayer @MayerMatias,F1 https://www.imdb.com/es-es/title/tt16311594,El amor es un viaje en trine al infierno https://www.imdb.com/es-es/title/tt19356262,The naked gun https://www.imdb.com/es-es/title/tt3402138,Anora https://www.imdb.com/es-es/title/tt28607951,Mision imposible https://www.imdb.com/es-es/title/tt9603208,Gatillero https://www.imdb.com/es-es/title/tt35974872,Bring her back https://www.imdb.com/es-es/title/tt32246771,Una Batalla tras otra https://www.imdb.com/es-es/title/tt30144839,La Frecuencia Kirilian https://www.imdb.com/es-es/title/tt37975377,Godzilla en Santa Fe (no tiene),Hasta el viento tiene miedo https://www.imdb.com/es-es/title/tt0061752/,Reflet dans un diaamant mort https://www.imdb.com/es-es/title/tt32263401,Y2k https://www.imdb.com/es-es/title/tt27218960,2073 https://www.imdb.com/es-es/title/tt22042346
18/01/2026 20:52:05,Juan Navarro,September 5 - https://www.imdb.com/title/tt28082769,Jay Kelly - https://www.imdb.com/title/tt30446847,A House Of Dynamite - https://www.imdb.com/title/tt32376165,Better Man - https://www.imdb.com/title/tt14260836,Sinners - https://www.imdb.com/title/tt31193180/,Spinal Tap II: The End Continues - https://www.imdb.com/title/tt20222166,Mission Impossible: The Final Reckoning - https://www.imdb.com/title/tt9603208,No Other Choice/Eojjeolsuga eobsda - https://www.imdb.com/title/tt1527793/,Gatillero - https://www.imdb.com/title/tt35974872,One Battle After Another - https://www.imdb.com/title/tt30144839,In the Heat of the Night - https://www.imdb.com/title/tt0061811/,The Amateur - https://www.imdb.com/title/tt0899043,G20 - https://www.imdb.com/title/tt23476986,Homo Argentum - https://www.imdb.com/title/tt34996428
18/01/2026 21:36:39,Fer Heinz,Better Man /tt14260836/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_better%2520man,Mickey 17 tt12299608/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_mickey%252017,If I had legs I'd kick you tt18382850/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_if%2520i%2520had%2520,The ugly stepsister tt29344903/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520ugl,Nosferatu tt5040012/?ref_=nv_sr_srsg_1_tt_6_nm_1_in_0_q_nosferatu,Gatillero tt35974872/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_gatillero,Weapons tt26581740/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_weapons,Sinners tt31193180/?ref_=nv_sr_srsg_1_tt_6_nm_1_in_0_q_sinners,Bring her back tt32246771/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_Bring%2520her%2520back,One battle after another tt30144839/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_one%2520battle%2520after%2520another,Dersu Uzala tt0071411/?ref_=nv_sr_srsg_0_tt_3_nm_1_in_0_q_derzu%2520uzala,,,Captain America Brave new world tt14513804/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_captain%2520america%2520
18/01/2026 21:40:06,@El_Diegot3,The Naked Gun https://www.imdb.com/es-es/title/tt3402138/,Final Destination Bloodlines https://www.imdb.com/es-es/title/tt9619824/,Together https://www.imdb.com/es-es/title/tt31184028/,Sinners https://www.imdb.com/es-es/title/tt31193180/,Nosferatu https://www.imdb.com/es-es/title/tt5040012/,Sentimental Value https://www.imdb.com/es-es/title/tt27714581/,Sovereign https://www.imdb.com/es-es/title/tt26843513/,Bugonia https://www.imdb.com/es-es/title/tt12300742/,Bring Her Back https://www.imdb.com/es-es/title/tt32246771/,One Battle After Another https://www.imdb.com/es-es/title/tt30144839/,Eternal Sunshine of the Spotless Mind https://www.imdb.com/es-es/title/tt0338013/ y llorar con el corazon roto ah.,Kraven the Hunter https://www.imdb.com/es-es/title/tt8790086/,Black Phone 2 https://www.imdb.com/es-es/title/tt29644189/,Captain America: Brave New World https://www.imdb.com/es-es/title/tt14513804/
18/01/2026 23:14:41,Santee,"The monkey, https://m.imdb.com/title/tt27714946/","Queens of the dead, https://m.imdb.com/title/tt32986431/","La virgen de la tosquera, https://m.imdb.com/title/tt15460036/","Sinners, https://m.imdb.com/title/tt31193180/","Hallow road, https://m.imdb.com/title/tt19403516/","27 noches, https://m.imdb.com/title/tt38095263/","Weapons, https://m.imdb.com/title/tt26581740/","Gatillero, https://m.imdb.com/title/tt35974872/","The ugly stepsister, https://m.imdb.com/title/tt29344903/","Bring her back, https://m.imdb.com/title/tt32246771/","12 Angry Men (Friedkin), https://m.imdb.com/title/tt0118528/","The woman in the yard, https://m.imdb.com/title/tt31314296/","Together,  https://m.imdb.com/title/tt31184028/","Presence, https://m.imdb.com/title/tt28249919/"
18/01/2026 23:17:51,Ivana,September 5 https://www.imdb.com/title/tt28082769,The Life of Chuck https://www.imdb.com/title/tt12908150,Belén https://www.imdb.com/title/tt37531036,Weapons https://www.imdb.com/title/tt26581740/,La virgen de la tosquera https://www.imdb.com/title/tt15460036/,Sinners https://www.imdb.com/title/tt31193180,If I Had Legs I'd Kick You https://www.imdb.com/title/tt18382850/,O Agente Secreto https://www.imdb.com/title/tt27847051/ ,It Was Just An Accident - https://www.imdb.com/title/tt36491653,One Battle After Another https://www.imdb.com/title/tt30144839,,,Materialists https://www.imdb.com/title/tt30253473/,https://www.imdb.com/title/tt30253473/
